ID,Nombre Producto,Cantidad,Precio,Codigo de barras propio,Categoria
7702026020927,SERVILLETAS FAMILIA X100UND,7,2450,1,Otros
7702026188528,TOALLA DE MANOS FAMILIA ROLLO,4,2000,1,Otros
7702626219820,SANPIC  450ML,3,6200,1,Aseo
7702026312039,PETYS ELIMINADOR DE OLOR 280ML,1,17000,1,Aseo
7702026312435,PETYS ELIMINADOR DE OLOR 50ML,1,5500,1,Aseo
1000006,LIMPIAPATAS,1,17000,0,Aseo
1000007,COMEDERO PAJARITO MEDIA LUNA,6,4000,0,Accesorios
1000008,COMEDERO PAJARITO DOBLE,4,2500,0,Accesorios
1000009,BEBEDERO PAJARITO ,3,2500,0,Accesorios
1000010,TINA DE BAÑO GRANDE PAJARITO,5,2700,0,Accesorios
1000011,TINA DE BAÑO PEQUEÑA PAJARITO,5,1800,0,Accesorios
1000012,CASA MADERA PAJARITO,5,7000,0,Accesorios
1000013,NIDO CACATUA (CILINDRO),3,7000,0,Accesorios
1000014,NIDO PERICO (MEDIA CANASTA),4,5500,0,Accesorios
1000015,CAMPANITAS DE CALCIO,3,1800,0,Comida otras mascotas
1000016,BOLA DE HAMSTER,1,10000,0,Accesorios
7707199695514,TRAPECIO MULTIGRANO MASCOFOOD,15,2500,1,Comida otras mascotas
1000018,ALPISTE 1LB / 500GR,0.433076923,3900,0,Comida otras mascotas
1000019,MIXTURA 1LB/ 500GR,0.151296296,2700,0,Comida otras mascotas
1000020,AVENA PEPA 1LB/ 500GR,2.514285714,3500,0,Comida otras mascotas
1000021,SEMILLA GIRASOL 1LB/500GR,0.24,10000,0,Comida otras mascotas
1000022,HAMSTERINA 1LB/ 500GR,3.54,4000,0,Comida otras mascotas
1000023,MIJOROJO 1LB/500GR,2.306315789,3800,0,Comida otras mascotas
1000024,CACAHUATE 60GR,7,1000,0,Comida otras mascotas
1000025,CONEJINA 1KL,4,4000,0,Comida otras mascotas
7707203440215,ENGORDE 1KL,0,3800,1,Comida otras mascotas
1000027,LEVANTE 1KL,0,3800,0,Comida otras mascotas
1000028,BEBEDERO TETERO GRANDE PERRO,1,9000,0,Accesorios
1000029,BEBEDERO TETERO PEQUEÑO PERRO,4,5000,0,Accesorios
1000030,BEBEDERO CAMPANA PERRO,0,13000,0,Accesorios
1000031,COMEDERO CARITA DE GATO,4,3000,0,Accesorios
1000032,COMEDERO EN FORMA DE CABEZA GATO,5,5000,0,Accesorios
1000033,COMEDERO BALON,1,3500,0,Accesorios
1000034,COMEDERO Y BEBEDERO DOBLE AMARILLO,1,7500,0,Accesorios
1000035,COMEDERO SENCILLO ROSADO,1,7000,0,Accesorios
1000036,COMEDERO HUESO DOBLE GRANDE,3,11000,0,Accesorios
1000037,COMEDERO HUESO DOBLE PEQUEÑO,1,6000,0,Accesorios
1000038,COMEDERO DOBLE PATAS,2,4500,0,Accesorios
1000039,COMEDEROS DE MADERA CON PATAS,2,15000,0,Accesorios
1000040,COMEDERO LEGO DOBLE (DESARMABLE),3,9000,0,Accesorios
1000041,COMEDERO DOBLE BLANCO CON DISEÑOS,4,13000,0,Accesorios
1000042,DISPENSADOR DE COMIDA MEDIANO,1,14000,0,Accesorios
1000043,COMEDERO DOBLE GATO GRANDE,1,8000,0,Accesorios
1000044,COMEDERO DOBLE GATO PEQUEÑO,0,7500,0,Accesorios
1000045,COMEDERO Y BEBEDERO DOBLE DE OSO,3,8000,0,Accesorios
1000046,PLATO GRANDE ANTIRREFLUJO HUELLA,2,12000,0,Accesorios
1000047,PLATO METALICO MEDIANO ,2,16000,0,Accesorios
1000048,PLATO METALICO GRANDE,6,20000,0,Accesorios
1000049,GALLETAS DE HUESO PERRO / leche,5,1000,0,Premios / Snacks
1000050,TRAQUIAS,0,2000,0,Premios / Snacks
1000051,PATAS DE POLLO,25,800,0,Premios / Snacks
1000052,BOLA DE PELO X20GR,18,1000,0,Premios / Snacks
1000053,PACK X3 COSTILLITAS HORNEADAS ,7,1000,0,Premios / Snacks
1000054,CHOCOLATINAS HUESO SWEET,8,700,0,Premios / Snacks
1000055,PERNIL  DE CARNAZA,6,2200,0,Premios / Snacks
7707205154905,DELIDOG DENT ,7,800,1,Premios / Snacks
1000057,BARQUILLOS CARNAZA,7,700,0,Premios / Snacks
7797453971829,PEDIGREE DENTA STICK,7,3000,1,Premios / Snacks
1000059,HUESOS DE ARROZ,16,800,0,Premios / Snacks
1000060,HUESOS DE CARNAZA BLANCO/NARANJA,13,2000,0,Premios / Snacks
7702993040102,MUAU SNACKS PARA PERRO CORAZONES,50,200,1,Premios / Snacks
1000062,BOMBONBUN ,23,600,0,Premios / Snacks
7702521034986,DOGSHOW ADULTO RAZA PEQ 350GR,6,3700,1,Comida paquete
7702521181505,DOGSHOW CACHORRO  350GR,1,3700,1,Comida paquete
7702084057194,OH MAI GAT 200GR INQUIETOS Y AVENTUREROS,4,3600,1,Comida paquete
7702084057200,OH MAI GAT 200GR CASEROS Y DELICADOS,1,3600,1,Comida paquete
7703090552024,MIRRINGO GATICOS CACHORRO 1KL,3,10800,1,Comida paquete
7703090732433,MIRRINGO ADULTOS 1KL,3,10200,1,Comida paquete
7702084057125,DON KAT GATICOS 500GR,2,6400,1,Comida paquete
7702084850900,DOGURMET CACHORROS 350GR,1,5200,1,Comida paquete
7703090932062,RINGO CACHORRO ,10.21642857,5600,1,Comida a granel
7703090785064, MIRRINGO,20.20222789,9800,1,Comida a granel
7702521749422,CATSHOW CARNE,16.41013699,14600,1,Comida a granel
7707205154493,CHUNKY ADULTO POLLO,15.7790411,7300,1,Comida a granel
7707205154110,CHUNKY ADULTO RAZA PEQUEÑA,9.142093023,8600,1,Comida a granel
7707205151508,CHUNKY ADULTO SALMON Y CORDERO,6.937669173,13300,1,Comida a granel
